,chapter,paragraph,paraph_class,paraph_class_name,text,sentence_paraph_class,logprob
55,2,8,5,Education,When approaching the schoolhouse I was amazed at the great volume of vocal noise proceeding from within the schoolroom.,Education,0.9999998211642538
56,2,8,5,Education,"I asked the teacher, who spoke intelligible English, if Chinese pupils always study in this fashion.",Education,0.999999940388081
57,2,8,5,Education,"He replied that ""Chinamen believe study muchee loud remember more better.""",Education,0.9999997615523455
58,2,8,5,Education,"This is a thought for the teacher who is fond of hearing a ""pin drop,"" and a plea for the boy who isn't.",Education,0.999999940388081
59,2,9,20,Social Classes and Customs,"I do not now remember whether his back presentation was from choice or necessity, because sometimes the lower classes can be induced to present their backs to the camera when vast sums of money would not induce them to face that dire instrument of evil, believing that when their faces are photographed a part of their identity is forever lost to them, and this becomes a serious matter in their ancestral worship.",Social Classes and Customs,0.900346547975563
60,2,11,12,Harbor and Waterways,"We shall return again to the harbor, pass along the waterfront to the left for a half-mile, and board a steamer for Canton, distant about seventy-five miles.",Harbor and Waterways,0.989241805898971
61,2,11,12,Harbor and Waterways,"After landing at Canton we shall go a short distance above the landingplace to the Imperial Custom House, from the roof of which we shall look back down the river over the route from Hongkong.",Harbor and Waterways,0.9999990463231825
62,2,12,11,Geography and Topography,"Let us turn to the special map of Canton, Map No. 4, where we find our position and field of vision shown by the red lines which start from near the river and branch toward the right.",Geography and Topography,0.9999831314111673
63,3,2,23,Transportation,"Two steamers of this class, besides several other boats that carry freight and a few passengers, ply daily between Canton and Hongkong.",Harbor and Waterways,0.581431208694235
64,3,2,23,Transportation,These side-wheel boats are of European construction and are quite similar to those that ply between New York and Albany on the Hudson River.,Harbor and Waterways,0.8672053497593034
65,3,2,23,Transportation,"They have accommodations for first-class European passengers and a separate accommodation for first-class native passengers, besides an entire lower deck for the second-class Chinese, who are carried between the two ports at fifty-cent fares; first-class natives are carried for one dollar, while European travellers are charged at the civilized rate of eight dollars for the same short passage.",Transportation,0.7509868195059779
66,3,3,12,Harbor and Waterways,"We are looking due east, and the water before us is only one branch of the Canton or Pearl River.",Harbor and Waterways,0.9999940995841278
67,3,3,12,Harbor and Waterways,"The land on the right of the steamer is an island five or six miles long, and beyond it is another broad affluent of the Canton River.",Harbor and Waterways,0.9642083373845005
68,3,3,12,Harbor and Waterways,"That island on the right bank is densely populated and forms an important suburb to the city of Canton, which lies on the north bank and extends several miles in every direction from our point of view.",Geography and Topography,0.9977356654710325
69,3,4,12,Harbor and Waterways,The scene before us is one of the most interesting features of the myriad life of China's greatest commercial city.,Harbor and Waterways,0.9998332176309354
70,3,4,12,Harbor and Waterways,"As far as our sight can reach we see boats; these boats are homes in which millions of human beings have been born, have lived and have died; and in many cases, without ever having set foot on land.",Harbor and Waterways,0.9813525695982349
71,3,4,12,Harbor and Waterways,It has been estimated that in these floating homes from two hundred and fifty to four hundred thousand lives are daily rising and falling with the tide.,Harbor and Waterways,0.9913471129142031
72,3,5,19,River Dwellers (Tankia),"The inhabitants of these floating dwellings are called Tankia, which means boat-dwellers; their ancestors were also amphibians.",River Dwellers (Tankia),0.9999991655854572
73,3,5,19,River Dwellers (Tankia),"It has been estimated that eighty-five thousand of these boats are about Canton and that, of this number, forty thousand are permanently located.",Harbor and Waterways,0.9928531149721088
74,3,5,19,River Dwellers (Tankia),"On many of them pigs and chickens are reared, and in many cases when the smallness of the boat does not afford deck space for such stock, a box or cage is suspended from the stern to serve as a pig-pen or a chickencoop.",Daily Life and Occupations,0.9999143699017824
75,3,5,19,River Dwellers (Tankia),"For centuries the Chinese have used boats for dwellings, and having a free anchorage their building sites cost nothing.",Architecture and Building,0.9984356110337897
76,3,5,19,River Dwellers (Tankia),"A house for twenty dollars and a free site surpass all Western residential economics; but for one hundred dollars a boat almost luxurious in appointments, according to the Tankia's order of life, can be obtained.",Daily Life and Occupations,0.9798644683441442
77,3,6,4,Daily Life and Occupations,A thatch of palm leaves or a cover of matting over a portion of each boat protects the occupants from sun and rain and serves as an eating and sleeping place.,Daily Life and Occupations,0.9982449047434033
78,3,6,4,Daily Life and Occupations,"We speak of limitation of space, as things ""in a nutshell,"" but here in the small compass of a fifteen-foot boat there are births, deaths and funerals there are henneries and pig-pens, and even flower-gardening, particularly on the larger boats, where considerable space in the bow is set apart for flower-pots.",Daily Life and Occupations,0.9996013199966721
79,3,7,23,Transportation,"Sometimes European travellers who wish to make a prolonged sojourn in the vicinity of Canton, and do not care to pay the high prices charged in the one hotel, hire a comfortable house-boat which can be had for one dollar per day.",Transportation,0.9996505000748875
80,3,7,23,Transportation,"In that case the native owners occupy a small space in the bow, where all cooking is done for the traveller without extra cost, with the additional advantage of free transportation to any point on the river.",Transportation,0.999933431321815
81,3,8,4,Daily Life and Occupations,"One naturally wonders how this swarming population of river-dwellers is maintained, and the answer is chiefly by transporting merchandise and by carrying passengers from place to place.",Transportation,0.8924597139836231
82,3,8,4,Daily Life and Occupations,In some cases daughters go ashore to work in factories as girls do in other countries; but the factory girl's annual income in China would scarcely buy an American girl's hat.,Daily Life and Occupations,0.9999666204608257
83,3,9,22,Trade and Commerce,"if you were on board the steamer you would find many of these filled with water and alive with large and beautiful fish for the Hongkong market, where they are delivered alive.",Trade and Commerce,0.9999953508844397
84,3,10,12,Harbor and Waterways,Down the river beyond the steamer and before reaching that dark group of buildings we can see several ranges of larger boats extending from mid-stream toward the shore on the left.,Harbor and Waterways,0.9999995231614776
85,3,10,12,Harbor and Waterways,"From those boats called ""flower-boats"" we shall look toward the city, on our left here.",Harbor and Waterways,0.9999926687115006
86,4,2,10,Gambling and Opium,We stand on the upper deck or roof of one of these boats and look northward toward the shore and over the city.,Harbor and Waterways,0.9999827736202322
87,4,2,10,Gambling and Opium,"They are often gorgeously furnished within; the woodwork is carved; the walls are hung with pictures and embroideries; wall mirrors duplicate all objects of ornamentation; the furniture is inlaid with mother-of-pearl; flowers, both natural and artificial, furnish an abundance of color; and every night these popular resorts are filled with seekers after pleasure and recreation.",Gambling and Opium,0.9999817017924887
88,4,2,10,Gambling and Opium,"The opium smoker with his seductive pipe comes here to dispel his cares with this insidious narcotic; the gambler comes to these flower-boats to try his fortune at fan-tan or other Chinese games, for gambling is one of China's national vices.",Gambling and Opium,1.0
89,4,3,10,Gambling and Opium,"Although the Chinese are an industrious race, they often have an excess of leisure, and too much leisure always creates a desire for a pastime or for pleasure resorts.",Gambling and Opium,0.9938420048887088
90,4,3,10,Gambling and Opium,"As our idlers repair to a saloon or a summer-garden, so the Chinese idlers, as well as Chinese professional chance men, come to these flower-boats to win at cards, at dominoes, or dice.",Gambling and Opium,1.0
91,4,3,10,Gambling and Opium,"The passion for gambling is universal, and the stereotyped invitation ""Buy a chance and get rich,"" is heard everywhere.",Gambling and Opium,1.0
92,4,3,10,Gambling and Opium,"So the gaudy interiors of these floating dens of vice are nightly filled with sharpers, with idlers, with gamblers and desperate characters.",Gambling and Opium,0.999999940388081
93,4,4,20,Social Classes and Customs,Most travellers and tourists who come to Canton seldom spend more than two or three days in visiting the various places of interest.,Social Classes and Customs,0.9999789016207821
94,4,4,20,Social Classes and Customs,"There is so much that is repellent besides the exorbitant prices of poor hotels that a single day may satisfy the sightseer; naturally, therefore, there is a set number of places to be visited in a limited time, and one of these places is the flower-boats.",Social Classes and Customs,0.9999921314356816
95,4,5,20,Social Classes and Customs,"These boats cost from five hundred to a thousand dollars, and are generally owned by the men in charge of them.",Daily Life and Occupations,0.979300618635033
96,4,5,20,Social Classes and Customs,"At night these boats are illuminated brilliantly with lamps and lanterns, and patrons come and go by boats and along those projecting bows.",Harbor and Waterways,0.9996986633431671
97,4,5,20,Social Classes and Customs,"Then they are not safe places to visit unless accompanied by a guide; but during the day they are vacated except by the owners and their families whom we see engaged in their daily routine of putting their boats in order for another night's round of feasting, gambling and dissipation.",Social Classes and Customs,0.8930446221996607
98,4,5,20,Social Classes and Customs,"A little beyond, a dame with her back toward us is delivering the morning gossip to her neighbors on the next boat, while her liege by her side, with ""turned-up pantaloons,"" is on daily avocations bent.",Daily Life and Occupations,0.8831822297105157
99,4,6,20,Social Classes and Customs,"Beyond the small house-boat two men in characteristic crouching pose are plainly watching the ""foreign devils"" and commenting thereon in a foul sarcasm only possible among Chinese.",Social Classes and Customs,0.999979676235928
100,4,6,20,Social Classes and Customs,"With us ""Time is money,"" with the Chinese time is of little account, but space is money.",Social Classes and Customs,0.9999995827822108
101,4,7,1,Architecture and Building,"Although space is valuable and upper space is free, yet the Chinese do not evidently take to ""sky-scrapers,"" as you can judge from the single story buildings everywhere.",Architecture and Building,0.9999997615523455
102,4,7,1,Architecture and Building,"Pawn shops, however, constitute a curious exception to the rule of low buildings, two of which you may see in the distance.",Architecture and Building,0.9999995827734001
103,4,7,1,Architecture and Building,These pawn shops form landmarks in Chinese cities and may be seen at great distances towering above all other buildings.,Architecture and Building,0.9999997615523455
104,4,8,4,Daily Life and Occupations,"Just before these flower-boats we have a good example of a small house-boat-its shape, its roof, and a projection over the stern, where, as I have already stated, are placed the pig-box and the hen-coop.",Harbor and Waterways,0.9965754631343168
105,4,8,4,Daily Life and Occupations,"There is not much choice, however, for the porcine member in one case has more space, in the other better ventilation.",Daily Life and Occupations,0.9373519431066686
106,4,9,4,Daily Life and Occupations,"You see those garments hung out to dry on poles and near them, also on poles, objects that might be mistaken for sheepskins.",Daily Life and Occupations,0.9912874376987346
107,4,10,20,Social Classes and Customs,"Notice now a short distance over in the city an object which in other countries would be taken for a flag-pole, with an arrangement resembling the cross trees on a ship's mast.",Social Classes and Customs,0.9999740140622084
108,4,10,20,Social Classes and Customs,"It marks the residence of a mandarin, and it is often a convenience when travelling in China to know just where the mandarin, in a town or village, lives.",Social Classes and Customs,0.9999901657494489
109,4,11,11,Geography and Topography,"We are here looking almost due north, and by following a northerly direction for several miles we shall find ourselves next standing on the northern side of the city and looking almost directly towards the spot we now occupy.",Geography and Topography,0.999999940388081
110,4,11,11,Geography and Topography,The red lines starting from the number 5 near the top of Map No. 4 and toward the southeast show our position and field of vision.,Geography and Topography,0.999999940388081
111,5,2,22,Trade and Commerce,"We are now standing on a low hill on the northern side of the city with the city wall just behind us, and looking a little east of south toward the Canton River, which we see in the distance.",Geography and Topography,0.999133494177883
112,5,2,22,Trade and Commerce,"The greatest commercial emporium of Asia is spread out over the plain before us, extending eastward and westward for many miles.",Trade and Commerce,0.9999964237763661
113,5,2,22,Trade and Commerce,"That vast hive of human life is encompassed by a high brick wall seven miles in circumference, and within that wall a million human beings are toiling for a livelihood.",Daily Life and Occupations,0.9998814709944769
114,5,2,22,Trade and Commerce,Almost an equal number have outgrown the limits of the ancient wall and spread out into the suburbs and across the river.,Trade and Commerce,0.9999643571667846
115,5,3,1,Architecture and Building,"A distant panoramic view of any city always leaves much for the imagination, just as when we look at the exterior of a single house, the interior life is for the imagination.",Architecture and Building,0.9999995827822108
116,5,3,1,Architecture and Building,"But you notice here that, although the Chinese are innocent of the expensive æstheticism of paint, they are not ignorant of the use of whitewash.",Architecture and Building,0.9999997615523455
117,5,4,5,Education,We can see no church spires; but there are one hundred and twenty temples down in that great sea of lowly homes.,Religion (Buddhism and Ancestor Worship),0.9999982118710093
118,5,5,23,Transportation,"People are carried from place to place through the narrow winding streets in sedan-chairs, and it is probably not unsafe with respect to truth to say that not one wheeled vehicle could be found within the entire range of our vision.",Transportation,0.9999979733115725
119,5,6,4,Daily Life and Occupations,"If by some power the real inwardness of all the social and industrial life in this panorama could be disclosed to us, what a marvelous scene we should behold!",Daily Life and Occupations,0.3578931162912862
120,5,6,4,Daily Life and Occupations,"There are palaces after a fashion; there are hospitals; there are arsenals; there are ancestral halls; there are prisons; there is the imperial mint; there is the execution ground where beheading is done; there are scores of markets, including a cat-market and a dog-market, where these domestic friends are sold for food.",Daily Life and Occupations,0.9998802787162105
121,5,6,4,Daily Life and Occupations,"There are seventeen thousand people engaged in silk weaving; and not in great factories, but in small dingy homes where handmade bamboo looms turn out the delicate fabrics with which our stores are filled, and those magnificent brocades which charm our fancies.",Daily Life and Occupations,0.9999995827822108
122,5,6,4,Daily Life and Occupations,"There are fifty thousand people making cloth; and there are over four thousand shoemakers; there are great numbers of wood-carvers, stonecutters and workers in iron, brass, ivory and silver.",Daily Life and Occupations,0.9999997019404407
123,5,7,10,Gambling and Opium,"It is a world of ceaseless industry; it is likewise a world of vice, as I have already intimated, and has acquired an infamous celebrity for profligacy and corruption; it contains the greatest number of the worst specimens that can be found in the empire.",Gambling and Opium,0.9987619310649809
124,5,7,10,Gambling and Opium,"A retiring viceroy once expressed himself thus about Canton: ""Deceit and falsehood prevail everywhere in this city, in all ranks and in all places.",Social Classes and Customs,0.9942613742976986
125,5,8,11,Geography and Topography,We must now turn our attention in the opposite direction; we shall step upon the wall and look northwest.,Geography and Topography,0.999999940388081
126,6,2,18,Religion (Buddhism and Ancestor Worship),We see a country where only the low land is cultivated and where the hills and mountains are without timber except for an occasional clump of trees.,Geography and Topography,0.9999991655627198
127,6,2,18,Religion (Buddhism and Ancestor Worship),The area of valuable land occupied by graves has long been a serious curtailment of agricultural resources.,Cemeteries and Burial Practices,0.9999946359401458
128,6,3,0,Agriculture and Farming,"Here he is evidently a truck gardener for the great market near at hand; you see how carefully the ground is ridged; how the streamlet from the hillside is carried around the walled compound and along the slope at a proper elevation for irrigating his plot of ground; that it is continued along the base of the hill to his neighbor beyond, where it again does its work of irrigation, and so down the plain in the benevolent perpetuity of Tennyson's ""Brook.""",Agriculture and Farming,0.9999962448857805
129,6,4,1,Architecture and Building,They built the greatest wall in the world-a barrier to repel the Tartars-and how long before that period they were wall-builders we do not know.,Architecture and Building,0.9999129399285193
130,6,4,1,Architecture and Building,"We know that from time to time to the present they have been defending their cities by prodigious fortifications; that their homes within walled cities are also protected by walls; that even their country houses are encompassed in the same way; that our missionaries in China imitate the wall-building instinct of the natives and encompass their compounds with high, exclusive and defensive walls.",Architecture and Building,0.9999553013243978
131,6,4,1,Architecture and Building,Now notice the home of that evidently well-to-do gardener-how carefully a wall incloses and defends all within; yet it must be confessed that these ramparts would scarcely be a protection against Western thieves.,Architecture and Building,0.9999994635464606
132,6,5,4,Daily Life and Occupations,"Let us now turn about, pass through the heart of the great city and look into one of the narrow congested thoroughfares.",Daily Life and Occupations,0.9999946955517486
133,7,2,22,Trade and Commerce,"We are standing on a foot-bridge that enables night. policemen to pass from roof to roof, and are looking down into Shappat-po Street, one of the principal business streets, especially for merchants who deal in European goods.",Trade and Commerce,0.9999969007658642
134,7,2,22,Trade and Commerce,"Another street near by called Hog Lane is more intelligible to the Anglo-Saxon, and would scarcely be a misnomer if applied to any of the streets, so narrow and dirty are they all.",Daily Life and Occupations,0.9987824291887828
135,7,3,15,Photography and Imaging,"I am sure it will not diminish your interest in the scene before us should I state how difficult it is to photograph a dark, narrow, crowded thoroughfare in Canton.",Photography and Imaging,0.999999940388081
136,7,3,15,Photography and Imaging,"Before finding this street, which is more open and better lighted than most streets, I had made three different unsuccessful attempts on different days to obtain a street scene.",Photography and Imaging,0.999999940388081
137,7,3,15,Photography and Imaging,"I had endeavored to hire policemen to stop, for a few moments only, the passing throng, until I could set my camera for a time exposure, as all streets are too dark for instantaneous work.",Photography and Imaging,0.999999940388081
138,7,3,15,Photography and Imaging,"In this place I found an American Mission reading-room, from the roof of which I reached the bridge on which we stand, where some light penetrates into the street below.",Missionary Work,0.994084636074325
139,7,4,4,Daily Life and Occupations,"A little farther along we can see another foot-bridge over this street, similar to the one on which we stand.",Daily Life and Occupations,0.9161121490538071
140,7,4,4,Daily Life and Occupations,The buildings are low and the streets are closed by gates or barricades at frequent distances; so that thieves can most readily reach the shops and pass from place to place along the roofs.,Daily Life and Occupations,0.9959149783978909
141,7,4,4,Daily Life and Occupations,A further reason for the bridges is that much industrial work is done on the roofs; clothes are here hung out to dry; frames are erected everywhere for the coloring and drying of cloth and yarn.,Daily Life and Occupations,0.9999982118448614
142,7,4,4,Daily Life and Occupations,"You will perceive a halt among those passers below; they have plainly spied the operator, but do not suspect that the eyes of a stereoscopic camera ever look down into that closely sheltered chasm.",Photography and Imaging,0.9999982118448614
143,7,5,4,Daily Life and Occupations,"The second, in the center of the street, gives the owner's name, Tai Chung Loong, followed by words which in English would be Sewing machine manufactured goods.",Daily Life and Occupations,0.9999982714566773
144,7,5,4,Daily Life and Occupations,"Another to Wing Fong Lau, who, according to his sign, is a dealer in paper fans, panels and decorated pictures.",Daily Life and Occupations,0.9997746543096299
145,7,5,4,Daily Life and Occupations,"Do you see the one horizontal board both in English and Chinese which tells us that artificial speech and song have a fascination for the ""heathen Chinee""?",Social Classes and Customs,0.9964886535100674
146,7,6,20,Social Classes and Customs,"Should we go down and enter one of those stores, the doorway would soon be blocked by men and boys (not women, because very few are seen on the streets) who would stop and glower at us as we might stop and gaze curiously at a wild man from some strange land.",Social Classes and Customs,0.9999915954757241
147,7,6,20,Social Classes and Customs,"The shopkeeper would not importune us to buy, neither would he attempt to repel the gaping crowd that fills his doorway; he would stare at us himself, smoke his pipe and keep his seat in statuesque stolidity and scornful indifference, as much as to say: ""Not dependent on the patronage of foreign-devils.'""",Social Classes and Customs,0.9999739544427438
148,7,7,1,Architecture and Building,"We have looked at the dingy house-boats and over a wilderness of paintless houses, and now, lest I should lead you to think that the Chinaman has no appreciation of architecture, no love of beauty and no artistic development, we will descend, enter a sedan-chair and be carried and jostled through lanes and byways for some distance, and then enter the court of one of the most beautiful buildings in Canton.",Architecture and Building,0.9999997019404407
