chapter,paragraph,text,class,class_name
2,5,"Across the harbor immediately before us, and to the right of the projecting headland, are situated the city and harbor of Kowloon, at which are dry docks that will accommodate the largest warships.
We can faintly see the docks across that small bay point of land, to the right of the city.
It was there that several of the Spanish warships destroyed by our fleet in Manila Bay were taken for reconstruction under the supervision of the brave hero of the ""Merrimac,"" Lieutenant Hobson.
The water front at Kowloon is lined with piers to accommodate the largest ocean ships.
It is out there at Kowloon that all cargoes to and from distant ports are loaded and discharged.
Vast storehouses, or ""godowns"" as they are named in the East, to accommodate transshipment, are ranged near the piers.
It is estimated that the actual trade of the European colony, exclusive of the cargoes which pass through this port without breaking bulk, is over 100,000,000 pounds per annum.
Many passenger steamers for Europe and America coal and embark passengers from the docks at Kowloon; but the boats of the Pacific Mail, the Canadian Pacific and most of the great lines for Europe receive and discharge their cargoes and embark and debark passengers at their anchorage in the harbor, which extends a mile or more on either hand in the bay between us and the opposite shore.
The harbor front at Kowloon presents a busy scene; rail-trucks are constantly thundering back and forth between the long piers and the godowns, coolies, in long lines, waddling under heavy loads carried on bamboo poles, pass to and fro uttering a weird, rhythmical cry which they think helps to dispel a consciousness of physical burden.
At frequent intervals small steam ferry-boats ply between Hongkong and Kowloon, carrying first-class passengers at five-cent fares and second-class at half that amount.
I must remind you, however, that the busy commercial port we see across the bay is not the native city of Kowloon.
What we see is chiefly the result of England's commercial development.
A water-front embracing about three square miles was here added to the colony of Hongkong thirty-five years ago.
Before this section was ceded to the English, it had been a haunt for smugglers and all the lawless rabble around about.
A few miles out among those low hills a granite bowlder marks the place of the surrender of the last of the Taipings.
",22,Trade and Commerce
2,6,"The native city of the same name is hidden among the low hills three miles distant and a little to our right.
The native Kowloon is a typical old Chinese city of low onestory buildings with tile roofs and surrounded by a dilapidated brick wall.
",11,Geography and Topography
2,7,"Those mountains in the distance are rocky and barren as is frequently the case near the sea-coast;
but beyond are many fertile and well-cultivated valleys producing rice, sugar-cane, sweet potatoes, garden fruits and vegetables.
In some portions of this peninsula that curious nut or fruit, sometimes seen in our markets, called the lichee, is abundantly produced.
Along that mountain range to the left, distinctly visible from positions near us, is a long line of excavation that shows the beginning of a railroad that is to connect Hongkong and Canton.
",11,Geography and Topography
2,8,"When we looked at Hongkong from the ship your attention was called to three buildings, one containing the cable office; those buildings are again before us, down by the harbor.
On the left is the Cable building.
A little further to the left, just to the right of the tree before us, and about half way to the Cable building, is St. John's Protestant Cathedral, a pretty building erected over fifty years ago, with a seating capacity for eight hundred.
And below us to the left of the tree we see the spire of the Union Church, erected two years before the former and seating about five hundred people.
Looking at European churches in the Far East naturally reminds one of schools.
Much encouragement has been given in that direction in Hongkong, and the Chinese inhabitants are quite alive to the importance of education.
Nearly nine thousand children are in attendance at the public schools.
I once visited a native school here.
When approaching the schoolhouse I was amazed at the great volume of vocal noise proceeding from within the schoolroom.
On entering I soon learned that all the pupils were studying aloud, and very loud.
I asked the teacher, who spoke intelligible English, if Chinese pupils always study in this fashion.
He replied that ""Chinamen believe study muchee loud remember more better.""
This is a thought for the teacher who is fond of hearing a ""pin drop,"" and a plea for the boy who isn't.
",5,Education
2,9,"Within a few feet of us we see some of the vegetation on the mountain-side, and sections of the occasional pinetrees.
My native boy supports himself against one as he also scans the panorama.
I do not now remember whether his back presentation was from choice or necessity, because sometimes the lower classes can be induced to present their backs to the camera when vast sums of money would not induce them to face that dire instrument of evil, believing that when their faces are photographed a part of their identity is forever lost to them, and this becomes a serious matter in their ancestral worship.
",20,Social Classes and Customs
2,10,"CANTON.
",11,Geography and Topography
2,11,"We have seen the mainland of China from Hongkong.
We shall return again to the harbor, pass along the waterfront to the left for a half-mile, and board a steamer for Canton, distant about seventy-five miles.
After landing at Canton we shall go a short distance above the landingplace to the Imperial Custom House, from the roof of which we shall look back down the river over the route from Hongkong.
",12,Harbor and Waterways
2,12,"Let us turn to the special map of Canton, Map No. 4, where we find our position and field of vision shown by the red lines which start from near the river and branch toward the right.
The number 3 is found near the apex and at the ends of these lines.
",11,Geography and Topography
3,2,"There is the Chukiang or Pearl River leading down to Hongkong.
We are looking directly east now.
Our large side-wheel steamer lies still at her dock.
Two steamers of this class, besides several other boats that carry freight and a few passengers, ply daily between Canton and Hongkong.
These side-wheel boats are of European construction and are quite similar to those that ply between New York and Albany on the Hudson River.
They have accommodations for first-class European passengers and a separate accommodation for first-class native passengers, besides an entire lower deck for the second-class Chinese, who are carried between the two ports at fifty-cent fares; first-class natives are carried for one dollar, while European travellers are charged at the civilized rate of eight dollars for the same short passage.
",23,Transportation
3,3,"We are looking due east, and the water before us is only one branch of the Canton or Pearl River.
The land on the right of the steamer is an island five or six miles long, and beyond it is another broad affluent of the Canton River.
That island on the right bank is densely populated and forms an important suburb to the city of Canton, which lies on the north bank and extends several miles in every direction from our point of view.
",12,Harbor and Waterways
3,4,"The scene before us is one of the most interesting features of the myriad life of China's greatest commercial city.
As far as our sight can reach we see boats; these boats are homes in which millions of human beings have been born, have lived and have died; and in many cases, without ever having set foot on land.
It has been estimated that in these floating homes from two hundred and fifty to four hundred thousand lives are daily rising and falling with the tide.
",12,Harbor and Waterways
3,5,"The inhabitants of these floating dwellings are called Tankia, which means boat-dwellers; their ancestors were also amphibians.
They are looked upon as a class below the land people, and they have many customs peculiar to themselves.
Their house-boats range in size from fifteen feet to fifty and sixty feet in length.
It has been estimated that eighty-five thousand of these boats are about Canton and that, of this number, forty thousand are permanently located.
On many of them pigs and chickens are reared, and in many cases when the smallness of the boat does not afford deck space for such stock, a box or cage is suspended from the stern to serve as a pig-pen or a chickencoop.
This way of securing comparatively free homesteads has seldom occurred to the poor of other countries.
For centuries the Chinese have used boats for dwellings, and having a free anchorage their building sites cost nothing.
A house-boat that will accommodate a moderatesized family can be obtained for twenty dollars.
A house for twenty dollars and a free site surpass all Western residential economics; but for one hundred dollars a boat almost luxurious in appointments, according to the Tankia's order of life, can be obtained.
",19,River Dwellers (Tankia)
3,6,"Most of the boats we can see here are small.
A thatch of palm leaves or a cover of matting over a portion of each boat protects the occupants from sun and rain and serves as an eating and sleeping place.
We speak of limitation of space, as things ""in a nutshell,"" but here in the small compass of a fifteen-foot boat there are births, deaths and funerals there are henneries and pig-pens, and even flower-gardening, particularly on the larger boats, where considerable space in the bow is set apart for flower-pots.
",4,Daily Life and Occupations
3,7,"Sometimes European travellers who wish to make a prolonged sojourn in the vicinity of Canton, and do not care to pay the high prices charged in the one hotel, hire a comfortable house-boat which can be had for one dollar per day.
In that case the native owners occupy a small space in the bow, where all cooking is done for the traveller without extra cost, with the additional advantage of free transportation to any point on the river.
",23,Transportation
3,8,"One naturally wonders how this swarming population of river-dwellers is maintained, and the answer is chiefly by transporting merchandise and by carrying passengers from place to place.
In some cases daughters go ashore to work in factories as girls do in other countries; but the factory girl's annual income in China would scarcely buy an American girl's hat.
",4,Daily Life and Occupations
3,9,"On that dock between the steamers and the shore you see several huge casks;
if you were on board the steamer you would find many of these filled with water and alive with large and beautiful fish for the Hongkong market, where they are delivered alive.
",22,Trade and Commerce
3,10,"Down the river beyond the steamer and before reaching that dark group of buildings we can see several ranges of larger boats extending from mid-stream toward the shore on the left.
Out there we shall see floating dwellings of more beautiful construction.
From those boats called ""flower-boats"" we shall look toward the city, on our left here.
On the Map No. 4 the red lines connected with the number 4 show the relation between our two positions.
",12,Harbor and Waterways
4,2,"We stand on the upper deck or roof of one of these boats and look northward toward the shore and over the city.
A range of flower-boats lies between us and the shore.
These may be called the summer-gardens of Canton.
They are often gorgeously furnished within; the woodwork is carved; the walls are hung with pictures and embroideries; wall mirrors duplicate all objects of ornamentation; the furniture is inlaid with mother-of-pearl; flowers, both natural and artificial, furnish an abundance of color; and every night these popular resorts are filled with seekers after pleasure and recreation.
The opium smoker with his seductive pipe comes here to dispel his cares with this insidious narcotic; the gambler comes to these flower-boats to try his fortune at fan-tan or other Chinese games, for gambling is one of China's national vices.
",10,Gambling and Opium
4,3,"Although the Chinese are an industrious race, they often have an excess of leisure, and too much leisure always creates a desire for a pastime or for pleasure resorts.
""An idle brain is the devil's workshop.""
As our idlers repair to a saloon or a summer-garden, so the Chinese idlers, as well as Chinese professional chance men, come to these flower-boats to win at cards, at dominoes, or dice.
The passion for gambling is universal, and the stereotyped invitation ""Buy a chance and get rich,"" is heard everywhere.
So the gaudy interiors of these floating dens of vice are nightly filled with sharpers, with idlers, with gamblers and desperate characters.
",10,Gambling and Opium
4,4,"Most travellers and tourists who come to Canton seldom spend more than two or three days in visiting the various places of interest.
Many come on the morning steamer and return to Hongkong by the night boat of the same day.
It is not a desirable place for a long sojourn.
There is so much that is repellent besides the exorbitant prices of poor hotels that a single day may satisfy the sightseer; naturally, therefore, there is a set number of places to be visited in a limited time, and one of these places is the flower-boats.
A question one constantly hears at the hotel is, ""Have you been to the flowerboats?""
They have a sort of Monte Carlo notoriety that makes them an object of interest to all travellers.
",20,Social Classes and Customs
4,5,"These boats cost from five hundred to a thousand dollars, and are generally owned by the men in charge of them.
At night these boats are illuminated brilliantly with lamps and lanterns, and patrons come and go by boats and along those projecting bows.
Then they are not safe places to visit unless accompanied by a guide; but during the day they are vacated except by the owners and their families whom we see engaged in their daily routine of putting their boats in order for another night's round of feasting, gambling and dissipation.
One woman is whipping the dust from chair and settee cushions.
Two girls have spied us and are gazing quizzically at our strange manner and appearance.
A little beyond, a dame with her back toward us is delivering the morning gossip to her neighbors on the next boat, while her liege by her side, with ""turned-up pantaloons,"" is on daily avocations bent.
",20,Social Classes and Customs
4,6,"Beyond the small house-boat two men in characteristic crouching pose are plainly watching the ""foreign devils"" and commenting thereon in a foul sarcasm only possible among Chinese.
We see near the same place a woman perched on the roof; we can see another in the distance.
With us ""Time is money,"" with the Chinese time is of little account, but space is money.
The top of the flowerboat is a place for storage and for clothes-lines, which you see are poles.
",20,Social Classes and Customs
4,7,"Although space is valuable and upper space is free, yet the Chinese do not evidently take to ""sky-scrapers,"" as you can judge from the single story buildings everywhere.
Pawn shops, however, constitute a curious exception to the rule of low buildings, two of which you may see in the distance.
These pawn shops form landmarks in Chinese cities and may be seen at great distances towering above all other buildings.
",1,Architecture and Building
4,8,"Just before these flower-boats we have a good example of a small house-boat-its shape, its roof, and a projection over the stern, where, as I have already stated, are placed the pig-box and the hen-coop.
We have heard of countries where the pig is kept in the parlor; but in the house-boat space is more valuable.
There is not much choice, however, for the porcine member in one case has more space, in the other better ventilation.
",4,Daily Life and Occupations
4,9,"You see those garments hung out to dry on poles and near them, also on poles, objects that might be mistaken for sheepskins.
They are mackintoshes-rain coats made of bamboo leaves.
They serve their purpose well and only cost from ten to twenty cents each.
",4,Daily Life and Occupations
4,10,"Notice now a short distance over in the city an object which in other countries would be taken for a flag-pole, with an arrangement resembling the cross trees on a ship's mast.
That pole you will see in every city and large town in China.
It marks the residence of a mandarin, and it is often a convenience when travelling in China to know just where the mandarin, in a town or village, lives.
",20,Social Classes and Customs
4,11,"We are here looking almost due north, and by following a northerly direction for several miles we shall find ourselves next standing on the northern side of the city and looking almost directly towards the spot we now occupy.
The red lines starting from the number 5 near the top of Map No. 4 and toward the southeast show our position and field of vision.
",11,Geography and Topography
5,2,"We are now standing on a low hill on the northern side of the city with the city wall just behind us, and looking a little east of south toward the Canton River, which we see in the distance.
The greatest commercial emporium of Asia is spread out over the plain before us, extending eastward and westward for many miles.
That vast hive of human life is encompassed by a high brick wall seven miles in circumference, and within that wall a million human beings are toiling for a livelihood.
Almost an equal number have outgrown the limits of the ancient wall and spread out into the suburbs and across the river.
We cannot from this distance look into one of the narrow busy streets; but this we shall do on our return.
",22,Trade and Commerce
5,3,"Here we must be content to look over that vast urban world and reflect.
A distant panoramic view of any city always leaves much for the imagination, just as when we look at the exterior of a single house, the interior life is for the imagination.
Notice the low one-story brick buildings with tile roofs.
The brick is not red, but drab or gray; no paint can be seen anywhere; very little is used.
in the whole empire.
But you notice here that, although the Chinese are innocent of the expensive æstheticism of paint, they are not ignorant of the use of whitewash.
",1,Architecture and Building
5,4,"We can observe an occasional clump of trees; but no high chimneys.
We can see no church spires; but there are one hundred and twenty temples down in that great sea of lowly homes.
There are fourteen high schools and thirty colleges.
Of course, they are not Yales or Oxfords, but they are somewhat educational.
",5,Education
5,5,"People are carried from place to place through the narrow winding streets in sedan-chairs, and it is probably not unsafe with respect to truth to say that not one wheeled vehicle could be found within the entire range of our vision.
",23,Transportation
5,6,"If by some power the real inwardness of all the social and industrial life in this panorama could be disclosed to us, what a marvelous scene we should behold!
There are palaces after a fashion; there are hospitals; there are arsenals; there are ancestral halls; there are prisons; there is the imperial mint; there is the execution ground where beheading is done; there are scores of markets, including a cat-market and a dog-market, where these domestic friends are sold for food.
There are seventeen thousand people engaged in silk weaving; and not in great factories, but in small dingy homes where handmade bamboo looms turn out the delicate fabrics with which our stores are filled, and those magnificent brocades which charm our fancies.
There are fifty thousand people making cloth; and there are over four thousand shoemakers; there are great numbers of wood-carvers, stonecutters and workers in iron, brass, ivory and silver.
",4,Daily Life and Occupations
5,7,"It is a world of ceaseless industry; it is likewise a world of vice, as I have already intimated, and has acquired an infamous celebrity for profligacy and corruption; it contains the greatest number of the worst specimens that can be found in the empire.
A retiring viceroy once expressed himself thus about Canton: ""Deceit and falsehood prevail everywhere in this city, in all ranks and in all places.
There is no truth in man, nor honesty in woman.""
At one time there was an organized band of twenty thousand robbers.
There are countless tea-houses and opium-joints and gambling dens.
But we cannot gaze longer over this broad panorama of busy industry and unspeakable vice.
",10,Gambling and Opium
5,8,"We must now turn our attention in the opposite direction; we shall step upon the wall and look northwest.
Then we shall have an aspect of the landscape where there is no suburb beyond the wall.
See the red lines marked 6 at the top of Map No. 4.
",11,Geography and Topography
6,2,"We are at the northern edge of the river plain, from which a rolling surface extends to the mountains in the distance.
We are looking out toward the great heart of China.
We see a country where only the low land is cultivated and where the hills and mountains are without timber except for an occasional clump of trees.
With us it is usually only the rocky character of the soil which prevents cultivation.
In China there is another cause of neglected cultivation.
It is the vast amount of ground occupied by tombs which can never be removed nor disturbed.
The hills, both to the right and to the left, are old cemeteries.
You can see the partially obliterated graves, but the ground is sacred for all time.
Agriculture and ancestral worship know no truce; these are the state and church in China.
The area of valuable land occupied by graves has long been a serious curtailment of agricultural resources.
This can be better understood when we consider that the venerated graves of ancestry have been preserved for thousands of years.
",18,Religion (Buddhism and Ancestor Worship)
6,3,"Down in the little vale below us we can see examples of the care with which the Chinaman cultivates his ground.
Here he is evidently a truck gardener for the great market near at hand; you see how carefully the ground is ridged; how the streamlet from the hillside is carried around the walled compound and along the slope at a proper elevation for irrigating his plot of ground; that it is continued along the base of the hill to his neighbor beyond, where it again does its work of irrigation, and so down the plain in the benevolent perpetuity of Tennyson's ""Brook.""
",0,Agriculture and Farming
6,4,"We call the aborigines who built and lived in mounds, mound-builders.
We might call the Chinese wall-builders.
They built the greatest wall in the world-a barrier to repel the Tartars-and how long before that period they were wall-builders we do not know.
We know that from time to time to the present they have been defending their cities by prodigious fortifications; that their homes within walled cities are also protected by walls; that even their country houses are encompassed in the same way; that our missionaries in China imitate the wall-building instinct of the natives and encompass their compounds with high, exclusive and defensive walls.
Now notice the home of that evidently well-to-do gardener-how carefully a wall incloses and defends all within; yet it must be confessed that these ramparts would scarcely be a protection against Western thieves.
Walls may do for the East; but bullets or buckshot are necessary for the Western Tartar.
",1,Architecture and Building
6,5,"Let us now turn about, pass through the heart of the great city and look into one of the narrow congested thoroughfares.
",4,Daily Life and Occupations
7,2,"We are standing on a foot-bridge that enables night. policemen to pass from roof to roof, and are looking down into Shappat-po Street, one of the principal business streets, especially for merchants who deal in European goods.
Shappat-po Street is a curious sounding name in our ears because it has not been anglicized.
Another street near by called Hog Lane is more intelligible to the Anglo-Saxon, and would scarcely be a misnomer if applied to any of the streets, so narrow and dirty are they all.
",22,Trade and Commerce
7,3,"I am sure it will not diminish your interest in the scene before us should I state how difficult it is to photograph a dark, narrow, crowded thoroughfare in Canton.
Before finding this street, which is more open and better lighted than most streets, I had made three different unsuccessful attempts on different days to obtain a street scene.
I had endeavored to hire policemen to stop, for a few moments only, the passing throng, until I could set my camera for a time exposure, as all streets are too dark for instantaneous work.
The policemen said they could never stop the crowd.
In this place I found an American Mission reading-room, from the roof of which I reached the bridge on which we stand, where some light penetrates into the street below.
",15,Photography and Imaging
7,4,"A little farther along we can see another foot-bridge over this street, similar to the one on which we stand.
Policemen nightly patrol these roofs and cross the streets on these bridges.
The buildings are low and the streets are closed by gates or barricades at frequent distances; so that thieves can most readily reach the shops and pass from place to place along the roofs.
A further reason for the bridges is that much industrial work is done on the roofs; clothes are here hung out to dry; frames are erected everywhere for the coloring and drying of cloth and yarn.
You will perceive a halt among those passers below; they have plainly spied the operator, but do not suspect that the eyes of a stereoscopic camera ever look down into that closely sheltered chasm.
",4,Daily Life and Occupations
7,5,"Note how the vertical signs are suspended from poles extended from roof to roof.
These characters have little resemblance to our Roman letters; they are read downwards.
The nearest sign-board on our left gives simply the name of the shopkeeper, Kwo Heung.
The second, in the center of the street, gives the owner's name, Tai Chung Loong, followed by words which in English would be Sewing machine manufactured goods.
The next vertical sign to the right belongs to Tin Wah Gok.
Another to Wing Fong Lau, who, according to his sign, is a dealer in paper fans, panels and decorated pictures.
Do you see the one horizontal board both in English and Chinese which tells us that artificial speech and song have a fascination for the ""heathen Chinee""?
Here in the very heart of this great, strange hive of human life the phonograph and graphophone are for sale.
",4,Daily Life and Occupations
7,6,"Should we go down and enter one of those stores, the doorway would soon be blocked by men and boys (not women, because very few are seen on the streets) who would stop and glower at us as we might stop and gaze curiously at a wild man from some strange land.
The shopkeeper would not importune us to buy, neither would he attempt to repel the gaping crowd that fills his doorway; he would stare at us himself, smoke his pipe and keep his seat in statuesque stolidity and scornful indifference, as much as to say: ""Not dependent on the patronage of foreign-devils.'""
Mongolian etiquette is not Caucasian etiquette; dissimilitude is written on everything.
",20,Social Classes and Customs
7,7,"We have looked at the dingy house-boats and over a wilderness of paintless houses, and now, lest I should lead you to think that the Chinaman has no appreciation of architecture, no love of beauty and no artistic development, we will descend, enter a sedan-chair and be carried and jostled through lanes and byways for some distance, and then enter the court of one of the most beautiful buildings in Canton.
",1,Architecture and Building
8,2,"Many believe that nothing has contributed more to the vastness and perpetuity of the Chinese Empire than their practical recognition of a commandment promulgated both by Moses and Confucius, the fifth in the Mosaic decalogue: ""Honor thy father and thy mother that thy days may be long upon the land which the Lord thy God giveth thee.""
",6,Family and Social Structures
8,3,"According to Confucius, in his ""Filial Piety Classic,"" ""There are three thousand crimes to which one or the other of the five kinds of punishments is attached as a penalty, and of those no one is greater than disobedience to parents"";
but filial piety in the Chinese cult is very misleading.
It is not at all identical with what we look upon as children's obedience and respect for their parents in Western countries.
The meaning would be better expressed if the so-called filial piety were termed veneration for ancestors, both immediate and remote, which, of course, should naturally begin with reverence for parents living.
Homage to ancestors antedates Confucius;
but he has emphasized its importance, and now it may be regarded as the religion of the Empire.
To honor and commemorate the family line, therefore, shrines or temples are erected in which memorial tablets are placed to different members of the clan or family.
This temple or ancestral hall before us has been erected, and is maintained by members of the Chun Clan, which has existed for some sixty generations.
The Chun family were the founders and are still the proprietors of the Chun-li-Chai, the house name of an old medicine firm which has been in existence for a thousand years, and of which there are two establishments still to be found.
This beautiful ancestral temple is a shrine at which all members of the Chun Clan, from the humblest to the highest, can place their memorial tablets for those who have gone before.
There are three pavilions in this exquisite temple;
in the center one, contributors of two hundred taels have the first privilege.
The second pavilion is for members who can afford only one hundred taels, a third for those who are only able to pay forty taels.
The walls are of brick, the floors of the courts are of granite slabs.
The slender columns and the massive paneled balustrades are of gray granite.
Notice the representations of grape-vines worked out on posts and panels.
Even more elaborate still are the porcelain decorations on the roofs;
notice the fantastic designs that extend from the ridge of the roof to the eaves;
also the roof of the arcade running across the court;
these are all wrought in richly colored porcelains.
Considerable time could be spent in examining the wonderful carving and grotesque decorative art in this charming structure, which is considered the finest in this part of the Empire.
By a handful of ""cash"" (a small copper coin, seventeen of which make one cent) I induced those three juvenile Celestials to stand where you see them;
but do not imagine that these boys are the only life near us;
just out of sight at our left, the court is well filled with gaping onlookers, who were kept back with great difficulty.
The gate of the temple had to be closed to exclude the crowd on the street.
They are eager to see, but afraid to pose.
You cannot conjecture what I regarded as the rarest personal phenomenon that obtained in connection with that little trio;
it was something seen everywhere in Japan, but seldom in a Chinese crowd or individual;
I mean that I caught once on one of those faces a genuine, roguish, first-class, fun-loving smile.
I was afraid the boy lacked ""filial piety.""
The Japanese are a laughing people;
but the Chinese countenance is cold, expressionless, and as immobile as that of the eternal Sphinx.
The ready laugh usually denotes a genial nature, which is often lacking in the Chinese people.
The boy and little child are a familiar feature of domestic life in China.
Everywhere one may see very small boys and girls carrying and caring for younger brothers and sisters;
in this respect they are certainly not only filial, but fraternal and useful.
",18,Religion (Buddhism and Ancestor Worship)
8,4,"We have had a single glance into one court of this beautiful Ancestral Hall of Chun-Ka-Chie and will now, followed by a hundred gazing onlookers, turn out into the narrow street again and wend our way toward the west to another temple, old and dingy, but which constitutes one of the chief attractions to all who visit Canton.
",1,Architecture and Building
